id_imovel,area_m2,quartos,idade_anos,bairro,aluguel
1,77.1,3,7,Centro,3155.31
2,91.8,2,10,Vila Nova,2590.55
3,71.7,1,6,Jardins,3448.33
4,67.5,2,34,Jardins,2704.01
5,96.3,3,23,Vila Nova,3056.93
6,69.9,2,29,Centro,2398.23
7,82.2,2,12,Centro,2683.72
8,79.1,1,15,Jardins,3323.0
9,96.3,3,16,Centro,3190.09
10,62.9,2,30,Vila Nova,1599.44
11,109.2,4,31,Centro,3633.71
12,56.5,1,8,Centro,1753.37
13,84.4,2,38,Centro,2713.27
14,80.5,3,5,Jardins,3576.33
15,149.4,4,36,Centro,4853.5
16,54.4,2,4,Centro,1924.27
17,87.2,2,11,Vila Nova,2531.54
18,64.8,2,34,Centro,2025.17
19,47.1,1,7,Centro,2136.05
20,91.5,3,17,Centro,3305.09
21,39.7,1,18,Centro,1460.39
22,50.7,2,10,Centro,2194.22
23,71.4,2,28,Jardins,2673.8
24,96.1,2,34,Centro,2950.03
25,89.3,3,35,Vila Nova,3181.94
26,76.6,2,14,Vila Nova,2412.3
27,34.3,1,21,Centro,1361.91
28,55.4,2,10,Centro,2323.4
29,60.4,2,10,Centro,2536.96
30,46.1,1,6,Jardins,2089.74
31,30.4,1,38,Centro,662.56
32,72.8,2,36,Vila Nova,2116.28
33,90.4,3,31,Vila Nova,2570.52
34,58.5,1,21,Vila Nova,1983.87
35,95.6,3,20,Jardins,4014.24
36,37.7,2,21,Vila Nova,846.49
37,45.0,1,21,Centro,1292.66
38,72.2,1,17,Jardins,2442.51
39,56.5,2,5,Centro,2201.54
40,87.5,4,5,Vila Nova,3089.68
41,81.9,2,38,Jardins,3260.5
42,58.1,1,19,Vila Nova,1930.59
43,39.2,1,38,Centro,1599.37
44,55.5,1,7,Vila Nova,1678.3
45,82.7,2,22,Jardins,3011.51
46,88.8,2,8,Jardins,3992.06
47,56.6,2,10,Vila Nova,2052.83
48,30.3,1,1,Centro,1522.61
49,36.8,1,5,Centro,1817.34
50,80.1,3,37,Jardins,3243.83
51,57.8,3,13,Centro,2917.56
52,58.3,2,24,Centro,1874.95
53,44.7,1,19,Centro,1817.93
54,44.3,1,16,Centro,1225.78
55,94.9,3,21,Vila Nova,2728.16
56,81.2,2,7,Jardins,4033.69
57,52.4,2,40,Centro,1749.35
58,70.1,2,33,Jardins,3334.69
59,74.9,3,30,Jardins,3534.23
60,124.8,3,19,Jardins,4805.91
61,42.8,2,6,Vila Nova,1948.64
62,74.5,2,37,Vila Nova,2034.57
63,94.8,3,14,Centro,2887.11
64,119.0,4,2,Centro,4052.91
65,51.3,1,14,Jardins,2783.67
66,57.5,2,32,Jardins,2917.63
67,87.8,3,25,Jardins,3454.28
68,34.0,1,30,Vila Nova,769.69
69,77.4,1,32,Jardins,2970.98
70,142.5,4,8,Centro,4685.65
71,80.5,2,37,Centro,2199.96
72,28.0,1,18,Centro,1067.71
73,47.3,1,26,Centro,1445.27
74,52.0,1,0,Centro,2191.23
75,103.2,2,40,Vila Nova,2985.48
76,63.6,2,11,Centro,2340.4
77,30.5,1,2,Centro,1339.74
78,66.5,1,18,Jardins,3013.56
79,71.8,2,5,Vila Nova,2138.99
80,54.7,2,6,Centro,1920.14
81,44.0,1,25,Vila Nova,1011.75
82,148.7,4,16,Vila Nova,4402.2
83,94.9,3,37,Jardins,3612.25
84,98.2,3,13,Vila Nova,3168.68
85,63.6,3,29,Centro,2582.53
86,51.0,2,18,Vila Nova,1292.74
87,55.8,2,26,Centro,2037.64
88,37.6,1,24,Vila Nova,1046.08
89,123.8,4,19,Jardins,5091.69
90,64.7,2,38,Centro,2133.42
91,112.5,4,14,Centro,3613.15
92,56.9,1,7,Vila Nova,1436.61
93,81.0,2,27,Jardins,3461.06
94,73.4,2,34,Centro,2653.03
95,35.9,1,2,Vila Nova,728.52
96,130.1,4,18,Vila Nova,4158.53
97,57.6,1,36,Jardins,2881.18
98,41.0,1,30,Jardins,2187.53
99,88.1,3,40,Centro,3042.88
100,67.9,2,21,Vila Nova,1908.01
101,78.1,3,26,Centro,2758.81
102,70.6,1,12,Vila Nova,1639.29
103,28.0,1,38,Centro,600.0
104,46.6,1,15,Jardins,2755.28
105,45.9,1,30,Centro,1305.18
106,97.7,2,16,Centro,3066.42
107,68.9,2,22,Vila Nova,1750.63
108,82.9,2,29,Jardins,3132.87
109,59.1,2,20,Jardins,2929.53
110,84.6,2,36,Vila Nova,2168.75
111,63.7,1,17,Vila Nova,1918.8
112,61.8,2,26,Vila Nova,1999.4
113,73.2,3,14,Centro,2872.51
114,70.6,2,16,Jardins,3361.83
115,168.2,4,18,Vila Nova,5424.5
116,46.4,2,5,Centro,1743.34
117,34.2,1,4,Centro,1504.01
118,77.4,3,27,Vila Nova,2751.67
119,49.2,1,26,Jardins,2784.61
120,28.0,1,27,Jardins,1579.4
121,41.9,1,1,Vila Nova,1362.56
122,152.7,4,13,Jardins,6127.23
123,45.9,1,8,Jardins,2695.43
124,29.1,1,31,Centro,1165.9
125,148.8,4,34,Jardins,5420.34
126,41.2,1,10,Centro,1536.25
127,180.0,4,27,Vila Nova,5304.92
128,58.0,1,5,Vila Nova,1735.51
129,130.3,4,11,Centro,4436.78
130,61.2,2,6,Centro,2394.97
131,81.2,1,11,Vila Nova,2146.84
132,64.2,1,27,Centro,2169.35
133,61.4,1,36,Jardins,3399.95
134,74.9,3,8,Jardins,3246.0
135,82.4,2,22,Vila Nova,2523.64
136,72.5,2,28,Centro,2242.83
137,69.5,1,38,Vila Nova,1901.43
138,49.4,1,24,Centro,1702.63
139,65.3,2,10,Jardins,3419.89
140,123.6,4,25,Centro,4433.01
141,48.4,2,13,Jardins,2831.13
142,75.7,2,39,Jardins,3485.97
143,108.0,3,16,Centro,3054.47
