id_cliente,meses_de_casa,valor_mensal,chamados_suporte,plano,cancelou
1,5,78.16,3,Padrão,1
2,38,62.46,0,Padrão,0
3,32,69.21,0,Padrão,1
4,22,70.35,0,Padrão,0
5,21,121.8,1,Premium,0
6,42,72.08,2,Padrão,0
7,5,63.99,0,Padrão,1
8,34,32.67,3,Básico,0
9,10,69.97,0,Padrão,1
10,5,69.17,2,Padrão,0
11,26,34.62,1,Básico,1
12,47,51.82,1,Básico,0
13,36,81.17,1,Padrão,0
14,37,81.47,2,Padrão,0
15,35,73.83,0,Padrão,0
16,38,35.66,2,Básico,0
17,25,43.7,3,Básico,1
18,7,25.03,0,Básico,0
19,41,125.7,0,Premium,0
20,22,139.83,2,Premium,0
21,25,54.9,1,Básico,0
22,18,71.86,2,Padrão,0
23,9,44.82,1,Básico,1
24,45,38.54,2,Básico,0
25,38,44.6,0,Básico,0
26,31,28.72,0,Básico,0
27,20,76.12,2,Padrão,1
28,40,124.88,0,Premium,0
29,27,49.46,1,Básico,0
30,22,68.47,1,Padrão,0
31,22,65.83,0,Padrão,0
32,11,135.12,1,Premium,0
33,5,67.48,0,Padrão,0
34,27,37.41,0,Básico,0
35,43,69.92,0,Padrão,0
36,4,38.37,0,Básico,0
37,42,125.69,0,Premium,0
38,40,36.07,0,Básico,0
39,14,65.69,0,Padrão,0
40,31,35.35,2,Básico,0
41,8,76.3,0,Padrão,0
42,37,131.98,3,Premium,0
43,34,80.84,0,Padrão,0
44,18,62.3,0,Padrão,0
45,4,128.87,0,Premium,1
46,47,136.98,1,Premium,0
47,22,45.56,0,Básico,0
48,43,75.2,1,Padrão,0
49,33,73.24,0,Padrão,0
50,38,77.73,1,Padrão,0
51,37,42.05,1,Básico,0
52,10,45.21,5,Básico,1
53,18,125.72,1,Premium,1
54,23,117.42,1,Premium,1
55,24,118.94,2,Premium,0
56,3,125.74,1,Premium,1
57,27,74.9,0,Padrão,0
58,8,120.01,1,Premium,0
59,36,133.28,0,Premium,0
60,33,63.37,1,Padrão,1
61,45,64.9,0,Padrão,0
62,36,39.93,1,Básico,0
63,18,75.24,0,Padrão,0
64,47,44.11,3,Básico,1
65,20,36.65,2,Básico,1
66,16,83.23,2,Padrão,1
67,44,57.29,0,Padrão,0
68,18,57.84,1,Básico,1
69,4,126.27,2,Premium,1
70,23,149.0,1,Premium,1
71,39,27.46,1,Básico,0
72,10,50.09,1,Básico,1
73,23,50.94,4,Básico,1
74,7,116.1,1,Premium,1
75,33,131.63,1,Premium,0
76,23,33.18,1,Básico,0
77,16,120.98,1,Premium,1
78,11,57.83,1,Básico,1
79,28,47.96,2,Básico,0
80,33,126.05,2,Premium,0
81,46,47.77,0,Básico,0
82,21,40.22,0,Básico,0
83,8,77.77,1,Padrão,0
84,40,84.52,2,Padrão,0
85,31,131.13,2,Premium,0
86,34,111.4,1,Premium,0
87,5,38.26,0,Básico,0
88,15,38.32,0,Básico,0
89,37,131.89,2,Premium,0
90,40,43.12,3,Básico,1
91,21,145.22,1,Premium,1
92,39,73.78,3,Padrão,1
93,41,51.21,2,Básico,0
94,19,126.37,2,Premium,1
95,44,41.45,2,Básico,1
96,14,79.4,1,Padrão,1
97,12,69.38,0,Padrão,0
98,33,74.05,2,Padrão,0
99,31,62.03,2,Padrão,0
100,7,56.25,1,Padrão,0
101,40,132.08,3,Premium,0
102,10,138.2,1,Premium,1
103,39,82.54,0,Padrão,0
104,1,32.71,0,Básico,0
105,39,67.12,1,Padrão,0
106,38,128.69,2,Premium,1
107,38,46.6,0,Básico,0
108,32,71.36,0,Padrão,0
109,23,63.91,2,Padrão,1
110,34,47.37,1,Básico,0
111,14,63.72,5,Padrão,1
112,38,45.24,0,Básico,0
113,27,125.35,0,Premium,0
114,23,111.79,2,Premium,0
115,25,135.13,1,Premium,1
116,28,73.61,1,Padrão,0
117,2,45.96,0,Básico,0
118,7,69.16,3,Padrão,1
119,12,129.09,1,Premium,0
120,6,78.02,2,Padrão,0
121,22,121.9,0,Premium,0
122,33,37.83,0,Básico,0
123,32,131.01,3,Premium,1
124,23,32.57,1,Básico,1
125,42,33.05,1,Básico,0
126,28,78.62,2,Padrão,0
127,4,26.92,1,Básico,1
128,37,41.9,1,Básico,0
129,28,39.33,1,Básico,0
130,31,77.57,0,Padrão,0
131,28,125.33,0,Premium,0
132,27,36.48,0,Básico,1
133,5,76.91,1,Padrão,0
134,27,125.77,1,Premium,0
135,39,25.0,1,Básico,0
136,15,30.02,1,Básico,0
137,29,134.85,0,Premium,0
138,2,119.29,1,Premium,0
139,17,87.62,0,Padrão,0
140,21,138.38,1,Premium,1
141,48,48.97,2,Básico,0
142,11,34.68,0,Básico,1
143,14,66.46,2,Padrão,1
144,20,42.88,1,Básico,0
145,48,118.82,3,Premium,0
146,41,74.56,1,Padrão,0
147,2,124.7,1,Premium,0
148,12,84.06,2,Padrão,1
149,40,28.87,0,Básico,0
150,3,51.51,1,Básico,1
151,42,38.85,0,Básico,0
152,14,145.38,1,Premium,0
153,45,42.32,0,Básico,0
154,15,58.61,1,Básico,0
155,21,52.13,2,Básico,0
156,32,37.55,0,Básico,0
157,7,139.02,1,Premium,1
158,27,35.25,3,Básico,1
159,25,130.78,0,Premium,0
160,38,37.4,2,Básico,1
161,48,85.12,1,Padrão,0
162,32,63.63,0,Padrão,0
163,20,44.08,1,Básico,1
164,20,122.48,0,Premium,0
165,21,125.77,5,Premium,1
166,40,130.59,1,Premium,0
167,16,39.16,0,Básico,0
168,9,36.84,1,Básico,1
169,17,72.5,1,Padrão,0
170,2,51.74,0,Básico,0
171,6,85.86,1,Padrão,1
172,5,79.06,0,Padrão,0
173,38,76.56,0,Padrão,0
174,35,130.3,1,Premium,1
175,34,73.26,1,Padrão,1
176,23,39.09,0,Básico,0
177,35,58.4,3,Básico,1
178,8,71.93,1,Padrão,1
179,44,77.31,1,Padrão,0
180,25,40.73,1,Básico,0
181,46,72.98,2,Padrão,0
182,8,129.27,2,Premium,1
183,24,129.75,1,Premium,1
184,34,74.66,1,Padrão,1
185,24,54.28,0,Básico,0
186,22,42.86,2,Básico,1
187,8,75.63,0,Padrão,0
188,19,47.7,1,Básico,1
189,12,69.58,0,Padrão,1
190,15,79.26,2,Padrão,1
191,33,34.2,1,Básico,0
192,31,33.17,0,Básico,0
193,30,43.68,3,Básico,0
194,18,128.28,2,Premium,1
195,47,98.31,4,Padrão,1
196,5,47.91,1,Básico,1
197,17,118.46,4,Premium,1
198,6,60.78,2,Padrão,1
199,17,77.59,0,Padrão,0
200,47,125.87,0,Premium,0
201,18,40.32,3,Básico,1
202,44,29.71,2,Básico,0
203,24,68.92,0,Padrão,0
204,34,29.12,4,Básico,1
205,22,79.62,1,Padrão,0
206,13,28.58,0,Básico,0
207,37,25.86,3,Básico,1
208,47,40.88,2,Básico,0
209,13,75.37,0,Padrão,0
210,38,49.0,2,Básico,0
211,13,39.89,2,Básico,0
212,35,137.32,2,Premium,1
213,38,25.0,0,Básico,0
214,22,38.47,1,Básico,0
215,36,38.7,1,Básico,0
216,14,56.77,1,Básico,1
217,4,28.34,0,Básico,0
218,5,81.09,1,Padrão,1
219,22,36.87,0,Básico,0
220,44,119.05,1,Premium,0
221,7,128.48,2,Premium,1
222,22,53.65,1,Básico,0
223,34,43.6,3,Básico,0
224,10,44.51,2,Básico,1
225,35,84.4,0,Padrão,0
226,15,40.92,1,Básico,1
227,39,123.44,0,Premium,0
228,28,130.89,0,Premium,0
229,27,126.89,1,Premium,0
230,9,76.54,1,Padrão,1
231,23,141.82,3,Premium,1
232,42,42.64,1,Básico,0
233,1,84.06,0,Padrão,1
234,37,46.22,3,Básico,0
235,24,134.05,1,Premium,1
236,35,56.25,0,Padrão,0
237,32,119.51,0,Premium,0
238,21,33.52,0,Básico,0
239,15,135.37,1,Premium,1
240,31,87.72,3,Padrão,0
241,7,78.0,2,Padrão,1
242,29,123.8,3,Premium,1
243,5,47.02,1,Básico,0
244,32,29.02,2,Básico,1
245,31,83.62,1,Padrão,0
246,5,42.63,1,Básico,1
247,37,41.43,0,Básico,0
248,20,35.07,0,Básico,0
249,38,39.82,0,Básico,0
250,2,125.38,1,Premium,1
251,9,65.24,0,Padrão,0
252,24,35.02,0,Básico,0
253,10,68.35,0,Padrão,0
254,16,76.17,1,Padrão,1
255,32,74.86,1,Padrão,0
256,7,132.51,0,Premium,1
257,33,126.07,1,Premium,0
258,5,31.43,0,Básico,0
259,9,37.17,0,Básico,0
260,29,77.26,1,Padrão,1
261,39,83.68,1,Padrão,0
262,9,60.88,1,Padrão,1
263,15,82.79,2,Padrão,1
264,45,75.07,0,Padrão,0
265,48,31.17,0,Básico,0
266,28,42.58,1,Básico,0
267,22,30.8,0,Básico,0
268,17,45.7,0,Básico,1
269,30,30.55,1,Básico,0
270,29,73.37,1,Padrão,0
271,15,35.47,0,Básico,0
272,2,35.0,0,Básico,0
273,8,63.23,0,Padrão,0
274,47,137.14,1,Premium,0
275,21,50.6,0,Básico,0
276,24,123.8,0,Premium,1
277,23,125.05,0,Premium,0
278,38,79.02,1,Padrão,0
279,4,55.69,2,Padrão,1
280,4,42.64,0,Básico,0
281,14,124.75,2,Premium,1
282,24,38.31,2,Básico,0
283,33,125.47,2,Premium,1
284,24,80.19,2,Padrão,1
285,22,43.99,0,Básico,1
286,46,25.0,2,Básico,0
287,8,63.06,1,Padrão,1
288,28,75.43,0,Padrão,1
289,27,39.65,0,Básico,0
290,23,74.05,1,Padrão,1
291,39,138.79,0,Premium,0
292,13,84.36,3,Padrão,1
293,46,73.57,2,Padrão,0
294,16,55.98,0,Básico,0
295,27,135.03,1,Premium,1
296,25,41.06,2,Básico,1
297,41,143.68,0,Premium,0
298,22,40.54,2,Básico,0
299,14,69.45,3,Padrão,0
300,2,44.39,0,Básico,0
301,18,47.16,0,Básico,0
302,40,148.14,1,Premium,0
303,1,70.95,2,Padrão,1
304,44,85.18,1,Padrão,0
305,27,121.75,1,Premium,0
306,7,130.56,2,Premium,1
307,15,120.59,2,Premium,0
308,27,25.0,2,Básico,0
309,16,79.29,1,Padrão,0
310,6,123.78,2,Premium,1
311,32,26.54,0,Básico,0
312,33,41.68,2,Básico,0
313,6,124.96,0,Premium,1
314,14,71.91,1,Padrão,0
315,12,73.11,0,Padrão,0
316,32,121.54,2,Premium,1
317,36,62.46,2,Padrão,0
318,35,78.11,1,Padrão,1
319,46,34.28,3,Básico,0
320,37,60.92,0,Padrão,0
321,16,50.5,3,Básico,1
322,6,121.58,0,Premium,0
323,30,128.85,1,Premium,1
324,44,37.48,2,Básico,0
325,47,25.0,2,Básico,0
326,12,120.27,2,Premium,1
327,12,29.86,2,Básico,1
328,2,81.01,0,Padrão,1
329,7,76.03,1,Padrão,1
330,27,94.1,0,Padrão,0
331,27,25.0,0,Básico,0
332,18,66.2,1,Padrão,1
333,15,38.13,1,Básico,0
334,40,74.18,0,Padrão,0
335,23,38.49,2,Básico,1
336,39,89.39,0,Padrão,0
337,47,84.53,0,Padrão,0
338,16,36.6,1,Básico,1
339,10,48.63,0,Básico,0
340,46,49.59,0,Básico,0
341,31,38.64,2,Básico,1
342,14,25.0,1,Básico,0
343,30,136.74,0,Premium,0
344,25,69.43,0,Padrão,0
345,44,122.66,6,Premium,1
346,13,152.48,0,Premium,0
347,48,44.94,0,Básico,0
348,45,76.79,1,Padrão,0
349,9,126.39,2,Premium,1
350,8,75.02,0,Padrão,1
351,26,77.26,0,Padrão,0
352,3,69.41,0,Padrão,1
353,15,44.44,3,Básico,1
354,21,74.29,1,Padrão,0
355,47,130.58,2,Premium,0
356,48,119.64,1,Premium,0
357,8,42.48,1,Básico,1
358,43,62.22,0,Padrão,0
359,5,47.85,1,Básico,0
360,36,143.65,1,Premium,1
361,41,30.68,0,Básico,0
362,43,138.96,3,Premium,0
363,11,132.38,1,Premium,1
364,43,56.07,0,Básico,0
365,6,32.32,0,Básico,1
366,25,119.23,4,Premium,1
367,23,45.99,1,Básico,1
368,16,76.08,1,Padrão,0
369,2,131.69,0,Premium,0
370,38,78.6,3,Padrão,1
371,17,26.5,1,Básico,1
372,32,73.18,0,Padrão,0
373,20,32.56,0,Básico,0
374,18,121.03,0,Premium,0
375,43,52.13,1,Básico,0
376,5,37.91,1,Básico,1
377,36,46.72,1,Básico,0
378,36,141.7,0,Premium,0
379,19,41.9,3,Básico,0
380,13,136.47,0,Premium,0
381,1,62.08,1,Padrão,0
