id_corrida,distancia_km,preco
1,6.3,17.4
2,8.5,23.35
3,5.5,17.52
4,4.9,17.5
5,9.2,24.54
6,5.3,17.61
7,7.0,19.95
8,6.6,19.22
9,9.2,26.97
10,4.3,10.51
11,11.4,27.46
12,3.5,9.77
13,7.4,16.52
14,6.8,18.55
15,3.3,13.69
16,7.8,21.56
17,4.6,15.45
18,2.4,12.54
19,8.5,26.28
20,1.7,8.6
21,2.8,13.96
22,5.5,17.21
23,9.2,23.55
24,8.1,21.67
25,6.2,15.69
26,1.2,5.89
27,3.4,11.74
28,4.0,15.43
29,2.3,13.59
30,0.9,4.22
31,5.7,18.23
32,8.3,21.16
33,3.8,14.24
34,9.1,24.79
35,1.5,4.66
36,2.2,11.74
37,5.6,16.05
38,3.5,11.68
39,7.8,20.1
40,7.0,19.06
41,3.7,14.04
42,1.7,8.25
43,3.4,13.12
44,7.1,21.35
45,8.0,25.34
46,3.5,12.09
47,0.9,4.02
48,1.4,10.28
49,6.7,19.11
50,3.7,15.31
51,3.7,14.0
52,2.2,9.55
53,2.1,10.43
54,9.0,28.73
55,6.9,24.29
56,3.0,11.81
57,5.3,16.95
58,6.0,20.26
59,14.1,34.38
60,2.0,10.05
61,5.9,17.93
62,9.0,25.39
63,13.1,32.11
64,2.9,8.22
65,3.6,8.86
66,7.9,20.11
67,1.2,6.71
68,6.3,18.31
69,17.4,47.17
70,6.8,22.13
71,0.8,4.84
72,2.5,11.12
73,3.0,10.75
74,10.4,27.24
75,4.4,15.07
76,0.9,8.25
77,4.8,14.87
78,5.5,19.28
79,3.3,9.99
80,2.1,9.67
81,18.6,51.12
82,9.0,25.25
83,9.5,28.87
84,4.4,14.9
85,2.9,12.47
86,3.4,12.45
87,1.5,7.97
88,13.9,34.13
89,4.6,15.88
90,12.0,29.6
91,3.6,14.19
92,6.9,22.24
93,5.7,18.37
94,1.4,7.4
95,15.1,39.1
96,3.7,12.43
97,1.8,10.88
98,7.9,18.78
99,5.0,15.29
100,6.4,15.15
101,5.4,13.8
102,0.8,9.49
103,2.4,12.06
104,2.3,8.65
105,9.5,22.79
106,5.1,10.33
107,7.1,19.62
108,3.8,18.28
109,7.4,22.12
110,4.4,13.62
111,4.2,15.13
112,5.7,14.45
113,5.4,16.19
114,22.5,54.61
115,2.4,10.04
116,1.2,9.23
117,6.3,19.6
118,2.7,12.22
119,0.8,5.38
120,1.9,11.0
121,19.4,50.9
122,2.3,8.15
123,0.8,5.02
124,18.6,48.62
125,1.8,8.67
126,25.0,62.81
127,3.7,12.27
128,15.1,41.19
129,4.1,14.3
130,6.9,20.65
131,4.5,18.03
132,4.1,13.37
133,6.0,16.22
134,7.1,19.63
135,5.6,18.28
136,5.2,13.33
137,2.7,12.2
138,4.6,14.11
139,13.9,37.88
140,2.6,5.91
141,6.1,16.81
142,11.2,26.22
143,7.1,18.97
144,9.5,26.44
145,1.8,8.63
146,6.1,17.9
147,4.0,13.38
148,4.1,14.4
149,13.1,31.89
150,4.1,15.52
151,6.2,20.05
152,0.8,7.56
153,15.1,39.37
154,9.1,25.72
155,4.8,19.56
156,3.8,13.22
157,7.6,21.13
158,11.1,27.88
159,15.3,36.49
160,8.9,22.18
161,5.3,14.8
162,9.9,26.63
163,8.7,24.77
164,5.3,16.71
165,8.5,22.19
166,8.4,25.28
167,4.7,16.92
168,3.2,11.83
169,7.9,21.07
170,2.0,10.52
171,1.6,8.93
172,6.3,15.98
173,7.7,21.91
174,6.3,19.33
175,6.8,18.12
176,7.7,22.22
177,13.2,31.07
178,9.0,27.58
179,8.9,26.99
180,6.0,17.6
181,6.1,19.19
182,4.5,9.97
183,6.6,17.29
184,1.9,8.63
185,13.2,31.92
186,2.4,11.8
187,9.0,28.87
188,12.1,29.3
189,9.0,23.17
190,20.5,50.61
191,0.8,9.98
192,3.4,10.1
193,12.0,31.85
194,1.6,12.05
195,2.5,7.22
196,7.3,18.54
197,5.2,15.62
198,7.0,19.36
199,5.6,18.85
200,5.9,18.55
