id_torra,temperatura_c,tempo_min,boa
1,222.6,11.3,1
2,204.1,14.4,1
3,227.2,15.9,0
4,218.4,13.9,0
5,185.2,16.6,0
6,233.7,14.6,0
7,221.9,15.5,0
8,223.2,7.3,0
9,187.0,14.1,0
10,204.8,10.8,1
11,200.4,12.1,1
12,231.0,13.2,0
13,215.4,16.7,0
14,225.3,16.8,0
15,204.4,9.2,1
16,192.5,14.1,0
17,210.5,14.2,1
18,183.5,9.8,0
19,225.5,7.4,0
20,214.7,6.5,0
21,221.7,14.6,0
22,199.5,11.4,1
23,233.4,16.8,0
24,229.1,11.1,0
25,222.8,16.8,0
26,190.7,10.5,1
27,205.7,14.7,0
28,182.4,6.9,0
29,188.5,12.1,0
30,217.6,14.8,0
31,221.0,16.2,0
32,233.2,15.0,0
33,197.9,6.4,0
34,200.4,10.1,1
35,205.8,6.5,0
36,190.4,7.2,0
37,187.1,13.4,0
38,206.2,13.8,1
39,192.5,14.5,0
40,216.8,15.5,0
41,204.0,14.1,1
42,225.8,14.8,0
43,218.5,6.5,0
44,197.2,8.6,1
45,225.8,12.8,0
46,224.3,15.4,0
47,201.3,6.0,0
48,195.9,11.7,1
49,217.5,13.5,0
50,187.7,6.3,0
51,191.0,10.4,1
52,180.4,15.9,0
53,223.3,13.4,1
54,216.6,8.6,1
55,218.8,15.4,0
56,222.9,9.8,0
57,205.2,15.4,0
58,211.3,9.3,1
59,187.7,12.5,0
60,186.3,10.4,0
61,216.8,9.0,1
62,205.9,15.8,0
63,211.1,8.1,0
64,222.1,6.9,0
65,214.9,9.8,1
66,210.4,13.9,1
67,210.8,14.9,0
68,196.7,17.0,0
69,181.7,9.3,0
70,204.0,10.5,1
71,191.8,7.5,0
72,202.5,12.3,1
73,226.9,17.0,0
74,192.9,13.7,0
75,183.2,12.5,0
76,195.5,10.3,1
77,196.1,16.1,0
78,216.4,11.5,1
79,210.6,7.5,0
80,223.1,10.0,0
81,216.5,6.7,0
82,202.4,8.2,1
83,224.8,6.2,0
84,189.2,11.0,1
85,181.2,13.0,0
86,185.0,9.8,0
87,219.7,10.6,0
88,205.4,16.6,0
89,188.9,14.3,0
90,207.6,11.9,1
91,188.4,9.1,0
92,218.3,15.9,0
93,204.5,8.6,1
94,201.0,9.6,1
95,196.6,16.0,0
96,214.7,11.8,1
97,199.9,14.2,0
98,184.8,12.5,0
99,186.5,13.2,0
100,232.9,9.3,0
101,230.0,8.7,0
102,218.5,9.5,1
103,194.6,7.7,1
104,233.3,15.6,0
105,222.8,9.1,0
106,219.4,12.2,0
107,204.7,14.7,0
108,195.0,14.6,0
109,185.3,10.8,0
110,229.6,11.2,0
111,205.1,16.9,0
112,191.1,13.4,0
113,196.8,15.0,0
114,211.9,15.9,0
115,189.7,14.7,0
116,227.1,8.0,0
117,221.7,12.2,0
118,219.6,7.1,0
119,203.8,13.2,1
120,214.5,16.5,0
121,212.1,11.6,1
122,215.7,10.8,1
123,184.6,6.4,0
124,202.9,16.6,0
125,182.3,7.1,0
126,207.2,6.5,0
127,198.1,8.7,1
128,187.9,6.7,0
129,185.7,11.0,0
130,212.3,11.7,1
131,189.4,9.4,0
132,230.9,6.6,0
133,212.0,7.2,1
134,199.1,10.2,1
135,212.5,6.7,0
136,181.3,13.7,0
137,232.7,8.3,0
138,206.5,9.3,1
139,223.1,10.3,0
140,184.6,10.6,0
141,206.8,6.0,0
142,207.0,7.2,1
143,231.6,15.5,0
144,211.4,6.0,0
145,206.0,11.6,1
146,194.7,11.4,1
147,198.2,9.7,1
148,208.6,10.7,1
149,204.1,14.6,1
150,181.2,15.3,0
151,225.4,8.9,0
152,229.3,9.5,0
153,187.7,8.7,0
154,210.5,11.3,1
155,186.0,13.5,0
156,217.0,8.5,0
157,195.5,9.6,1
158,216.3,16.2,0
159,220.0,6.5,0
160,222.3,11.1,1
161,185.9,13.8,0
162,230.4,7.7,0
163,192.7,6.5,0
164,182.1,7.5,0
165,210.5,16.1,0
166,200.4,6.1,0
167,225.6,8.1,0
168,224.5,6.3,0
169,197.4,7.2,0
170,232.4,12.8,0
171,196.0,8.7,1
172,208.3,12.3,1
173,194.1,12.5,1
174,231.5,15.3,0
175,189.1,6.1,0
176,182.5,15.4,0
177,203.9,12.8,1
178,234.6,7.8,0
179,229.0,14.5,0
180,221.2,15.4,0
181,229.0,8.8,0
182,229.1,16.1,0
183,208.5,11.0,1
184,197.4,12.6,1
185,222.5,16.8,0
186,216.4,10.0,1
187,200.6,14.9,0
188,185.2,9.5,0
189,221.1,14.8,0
190,194.4,12.6,1
191,231.5,8.4,0
192,193.3,10.6,1
193,186.8,9.5,0
194,225.7,6.9,0
195,188.4,6.3,0
196,189.9,9.8,1
197,213.0,6.2,0
198,228.1,7.8,0
199,190.8,14.0,1
200,197.1,13.8,0
201,222.8,14.1,0
202,233.5,9.5,0
203,207.5,15.8,0
204,187.9,12.5,0
205,180.8,7.4,0
206,192.6,7.6,0
207,187.3,13.6,0
208,217.3,7.9,0
209,186.7,11.6,0
210,207.8,16.9,0
211,218.2,6.0,0
212,212.0,6.2,0
213,191.0,16.9,0
214,224.2,12.4,0
215,219.3,7.4,0
216,220.6,15.9,0
217,187.2,15.7,0
218,186.8,11.9,1
219,231.0,12.8,0
220,201.9,9.0,1
221,196.6,6.6,0
222,206.9,12.5,1
223,216.5,9.2,0
224,232.6,13.3,0
225,195.8,15.2,0
226,230.9,6.2,0
227,181.4,12.6,0
228,210.5,8.5,0
229,214.9,15.6,0
230,185.8,8.8,0
231,187.7,12.7,1
232,203.1,12.1,1
233,233.1,10.4,0
234,212.8,13.5,1
235,231.3,14.0,0
236,224.2,12.2,1
237,205.7,14.3,0
238,223.2,16.8,0
239,181.0,10.6,0
240,186.0,11.7,0
241,225.6,6.1,0
242,223.8,14.8,0
243,192.8,11.7,1
244,209.2,10.5,1
245,213.3,7.0,0
246,227.7,15.8,0
247,213.2,10.3,1
248,202.7,13.5,0
249,200.6,7.6,1
250,203.4,16.6,0
251,215.9,8.0,0
252,227.7,8.2,0
253,205.0,15.4,0
254,193.6,16.0,0
255,193.0,8.3,0
256,221.0,11.2,0
257,224.9,14.1,0
258,185.8,15.7,0
259,183.7,10.2,0
260,212.7,11.7,1
261,188.0,14.2,0
262,225.4,14.0,0
263,197.1,14.6,0
264,187.9,12.3,0
265,230.7,7.2,0
266,189.1,15.9,0
267,195.7,15.5,0
268,188.4,14.8,0
269,186.4,7.1,0
270,181.2,8.2,0
271,183.0,14.2,0
272,189.6,6.3,0
273,182.9,16.8,0
274,212.5,10.1,1
275,217.4,13.9,1
276,201.6,15.8,0
277,197.5,10.3,1
278,207.7,9.5,1
279,228.1,12.7,0
280,226.8,12.4,0
281,182.4,10.5,0
282,190.0,12.6,0
283,193.0,16.3,0
284,193.7,11.1,1
285,211.4,8.2,1
286,202.9,10.1,1
287,182.7,10.3,0
288,200.5,7.4,0
289,208.8,7.8,1
290,185.6,13.5,0
291,225.8,9.7,0
292,182.9,16.5,0
293,230.9,8.7,0
294,185.5,7.1,0
295,226.4,14.3,0
296,229.6,15.7,0
297,233.9,9.1,0
298,224.1,8.2,0
299,222.9,8.0,0
300,215.3,11.7,1
301,222.8,11.2,0
