data,vendas,feriado
2022-01-01,570.99,1
2022-01-02,800.34,0
2022-01-03,647.83,0
2022-01-04,719.34,0
2022-01-05,565.98,0
2022-01-06,635.08,0
2022-01-07,781.09,0
2022-01-08,914.69,0
2022-01-09,862.93,0
2022-01-10,553.07,0
2022-01-11,717.36,0
2022-01-12,731.65,0
2022-01-13,719.36,0
2022-01-14,843.49,0
2022-01-15,964.4,0
2022-01-16,815.31,0
2022-01-17,629.56,0
2022-01-18,610.5,0
2022-01-19,741.37,0
2022-01-20,716.33,0
2022-01-21,768.94,0
2022-01-22,899.91,0
2022-01-23,944.89,0
2022-01-24,603.08,0
2022-01-25,647.49,0
2022-01-26,672.94,0
2022-01-27,756.92,0
2022-01-28,807.85,0
2022-01-29,971.67,0
2022-01-30,903.77,0
2022-01-31,747.47,0
2022-02-01,655.67,0
2022-02-02,670.44,0
2022-02-03,683.5,0
2022-02-04,830.47,0
2022-02-05,1022.46,0
2022-02-06,879.14,0
2022-02-07,576.85,0
2022-02-08,639.1,0
2022-02-09,748.95,0
2022-02-10,785.89,0
2022-02-11,835.3,0
2022-02-12,924.22,0
2022-02-13,909.55,0
2022-02-14,644.13,0
2022-02-15,711.78,0
2022-02-16,772.51,0
2022-02-17,765.23,0
2022-02-18,854.17,0
2022-02-19,979.14,0
2022-02-20,924.12,0
2022-02-21,686.36,0
2022-02-22,622.79,0
2022-02-23,712.8,0
2022-02-24,735.55,0
2022-02-25,787.26,0
2022-02-26,970.93,0
2022-02-27,1009.0,0
2022-02-28,609.25,0
2022-03-01,781.22,0
2022-03-02,644.1,0
2022-03-03,756.95,0
2022-03-04,848.8,0
2022-03-05,1036.22,0
2022-03-06,975.76,0
2022-03-07,722.75,0
2022-03-08,716.32,0
2022-03-09,731.6,0
2022-03-10,842.95,0
2022-03-11,842.14,0
2022-03-12,939.25,0
2022-03-13,879.98,0
2022-03-14,635.01,0
2022-03-15,782.23,0
2022-03-16,783.19,0
2022-03-17,848.33,0
2022-03-18,843.55,0
2022-03-19,1040.99,0
2022-03-20,1001.32,0
2022-03-21,687.55,0
2022-03-22,795.85,0
2022-03-23,751.08,0
2022-03-24,801.38,0
2022-03-25,862.64,0
2022-03-26,976.18,0
2022-03-27,1009.55,0
2022-03-28,694.58,0
2022-03-29,785.92,0
2022-03-30,836.45,0
2022-03-31,866.84,0
2022-04-01,942.43,0
2022-04-02,1059.06,0
2022-04-03,972.04,0
2022-04-04,735.13,0
2022-04-05,701.15,0
2022-04-06,738.06,0
2022-04-07,778.02,0
2022-04-08,860.04,0
2022-04-09,1106.36,0
2022-04-10,960.56,0
2022-04-11,734.7,0
2022-04-12,897.86,0
2022-04-13,821.04,0
2022-04-14,919.18,0
2022-04-15,881.43,0
2022-04-16,1087.63,0
2022-04-17,975.47,0
2022-04-18,754.64,0
2022-04-19,887.91,0
2022-04-20,756.36,0
2022-04-21,538.57,1
2022-04-22,969.27,0
2022-04-23,1081.85,0
2022-04-24,963.23,0
2022-04-25,796.8,0
2022-04-26,823.19,0
2022-04-27,891.39,0
2022-04-28,911.2,0
2022-04-29,1068.45,0
2022-04-30,1120.43,0
2022-05-01,625.82,1
2022-05-02,820.42,0
2022-05-03,885.28,0
2022-05-04,976.04,0
2022-05-05,976.99,0
2022-05-06,1010.68,0
2022-05-07,1239.44,0
2022-05-08,1012.67,0
2022-05-09,787.95,0
2022-05-10,833.07,0
2022-05-11,887.59,0
2022-05-12,860.68,0
2022-05-13,1043.67,0
2022-05-14,1154.49,0
2022-05-15,1011.83,0
2022-05-16,781.37,0
2022-05-17,923.33,0
2022-05-18,977.0,0
2022-05-19,1078.69,0
2022-05-20,1195.88,0
2022-05-21,1208.04,0
2022-05-22,1055.92,0
2022-05-23,729.46,0
2022-05-24,935.52,0
2022-05-25,892.73,0
2022-05-26,948.61,0
2022-05-27,998.81,0
2022-05-28,1189.07,0
2022-05-29,1193.43,0
2022-05-30,880.82,0
2022-05-31,923.79,0
2022-06-01,893.05,0
2022-06-02,886.56,0
2022-06-03,1019.69,0
2022-06-04,1207.44,0
2022-06-05,1248.52,0
2022-06-06,892.01,0
2022-06-07,1004.88,0
2022-06-08,937.64,0
2022-06-09,928.17,0
2022-06-10,1002.99,0
2022-06-11,1178.99,0
2022-06-12,1281.79,0
2022-06-13,846.34,0
2022-06-14,1007.45,0
2022-06-15,924.45,0
2022-06-16,1065.97,0
2022-06-17,1094.59,0
2022-06-18,1223.49,0
2022-06-19,1161.8,0
2022-06-20,866.29,0
2022-06-21,993.63,0
2022-06-22,960.83,0
2022-06-23,945.82,0
2022-06-24,1003.88,0
2022-06-25,1252.07,0
2022-06-26,1267.59,0
2022-06-27,923.54,0
2022-06-28,967.89,0
2022-06-29,1013.18,0
2022-06-30,1105.39,0
2022-07-01,1101.15,0
2022-07-02,1224.26,0
2022-07-03,1246.18,0
2022-07-04,946.38,0
2022-07-05,1073.62,0
2022-07-06,1013.26,0
2022-07-07,959.55,0
2022-07-08,1011.64,0
