id_cliente,meses_de_casa,valor_mensal,entregas_atrasadas,plano,cancelou
1,5,131.02,2,Premium,0
2,38,127.23,0,Premium,0
3,32,128.7,0,Premium,0
4,22,78.91,0,Clássico,1
5,21,63.18,0,Clássico,0
6,42,77.66,1,Clássico,1
7,5,77.86,1,Clássico,1
8,34,93.67,1,Clássico,1
9,10,57.85,3,Degustação,0
10,5,43.58,0,Degustação,1
11,26,129.55,1,Premium,1
12,47,68.8,0,Clássico,0
13,36,124.25,1,Premium,0
14,37,47.63,1,Degustação,0
15,35,76.27,1,Clássico,0
16,38,34.6,1,Degustação,0
17,25,53.33,0,Degustação,0
18,7,39.68,0,Degustação,0
19,41,41.07,1,Degustação,0
20,22,132.72,3,Premium,1
21,25,44.84,1,Degustação,0
22,18,90.94,0,Clássico,0
23,9,82.15,2,Clássico,1
24,45,82.94,1,Clássico,0
25,38,79.8,2,Clássico,1
26,31,34.06,0,Degustação,0
27,20,149.4,1,Premium,1
28,40,116.56,1,Premium,0
29,27,81.31,0,Clássico,0
30,22,84.44,0,Clássico,0
31,22,46.6,2,Degustação,0
32,11,131.27,0,Premium,1
33,5,51.77,1,Degustação,0
34,27,47.05,1,Degustação,0
35,43,33.88,0,Degustação,0
36,4,123.68,1,Premium,1
37,42,73.33,0,Clássico,0
38,40,133.04,0,Premium,0
39,14,129.33,0,Premium,0
40,31,44.13,0,Degustação,0
41,8,134.33,0,Premium,0
42,37,85.15,0,Clássico,0
43,34,69.39,0,Clássico,0
44,18,50.19,1,Degustação,0
45,4,137.23,0,Premium,1
46,47,31.85,0,Degustação,0
47,22,37.48,2,Degustação,0
48,43,81.3,0,Clássico,0
49,33,51.14,0,Degustação,1
50,38,46.89,0,Degustação,0
51,37,80.25,0,Clássico,0
52,10,47.88,1,Degustação,1
53,18,130.35,0,Premium,1
54,23,58.02,0,Degustação,0
55,24,74.69,1,Clássico,0
56,3,78.84,1,Clássico,1
57,27,74.64,1,Clássico,0
58,8,71.5,5,Clássico,1
59,36,76.52,1,Clássico,0
60,33,136.92,1,Premium,0
61,45,48.28,1,Degustação,0
62,36,49.61,0,Degustação,0
63,18,71.27,1,Clássico,0
64,47,112.59,0,Premium,0
65,20,63.98,1,Degustação,0
66,16,81.26,0,Clássico,0
67,44,140.13,0,Premium,0
68,18,70.95,0,Clássico,1
69,4,131.63,0,Premium,1
70,23,83.98,0,Clássico,0
71,39,70.73,1,Clássico,0
72,10,43.5,3,Degustação,1
73,23,136.54,2,Premium,1
74,7,39.41,2,Degustação,0
75,33,75.04,0,Clássico,0
76,23,74.63,1,Clássico,1
77,16,88.28,2,Clássico,1
78,11,81.31,1,Clássico,1
79,28,77.52,1,Clássico,1
80,33,120.46,1,Premium,0
81,46,82.49,3,Clássico,0
82,21,64.25,2,Clássico,0
83,8,47.99,1,Degustação,1
84,40,78.7,1,Clássico,0
85,31,92.98,1,Clássico,1
86,34,48.07,1,Degustação,0
87,5,41.31,2,Degustação,1
88,15,79.93,2,Clássico,1
89,37,79.48,0,Clássico,0
90,40,82.84,0,Clássico,0
91,21,37.77,1,Degustação,0
92,39,61.17,2,Degustação,0
93,41,47.29,2,Degustação,1
94,19,123.18,0,Premium,0
95,44,130.02,0,Premium,0
96,14,39.87,0,Degustação,0
97,12,85.27,0,Clássico,0
98,33,51.41,2,Degustação,0
99,31,44.24,1,Degustação,0
100,7,43.23,2,Degustação,1
101,40,48.94,0,Degustação,0
102,10,65.02,3,Clássico,1
103,39,128.88,2,Premium,0
104,1,35.96,1,Degustação,0
105,39,67.22,0,Clássico,0
106,38,80.47,1,Clássico,0
107,38,130.98,0,Premium,0
108,32,74.0,1,Clássico,0
109,23,47.47,0,Degustação,0
110,34,88.18,2,Clássico,1
111,14,58.39,2,Degustação,1
112,38,136.59,1,Premium,0
113,27,48.26,3,Degustação,1
114,23,76.79,1,Clássico,0
115,25,42.37,0,Degustação,0
116,28,65.46,0,Clássico,0
117,2,116.64,1,Premium,0
118,7,70.12,2,Clássico,1
119,12,59.75,0,Clássico,1
120,6,135.82,0,Premium,1
121,22,129.06,2,Premium,1
122,33,41.45,1,Degustação,0
123,32,77.36,3,Clássico,1
124,23,77.68,1,Clássico,0
125,42,76.03,0,Clássico,0
126,28,42.13,0,Degustação,0
127,4,43.22,1,Degustação,1
128,37,127.57,2,Premium,1
129,28,118.7,1,Premium,1
130,31,132.52,0,Premium,0
131,28,112.1,3,Premium,0
132,27,86.55,1,Clássico,0
133,5,133.54,2,Premium,1
134,27,118.56,0,Premium,0
135,39,87.39,0,Clássico,0
136,15,77.81,2,Clássico,1
137,29,42.36,1,Degustação,0
138,2,64.06,0,Clássico,1
139,17,51.41,1,Degustação,0
140,21,32.87,1,Degustação,1
141,48,83.32,2,Clássico,1
142,11,82.89,1,Clássico,1
143,14,51.03,1,Degustação,0
144,20,129.37,0,Premium,1
145,48,128.17,0,Premium,0
146,41,42.34,0,Degustação,0
147,2,47.64,1,Degustação,1
148,12,37.11,1,Degustação,1
149,40,137.19,1,Premium,0
150,3,127.75,1,Premium,1
151,42,54.3,0,Degustação,0
152,14,124.14,1,Premium,0
153,45,53.72,0,Degustação,1
154,15,51.72,1,Degustação,1
155,21,125.45,2,Premium,0
156,32,34.4,0,Degustação,0
157,7,50.8,2,Degustação,1
158,27,81.17,1,Clássico,1
159,25,85.87,1,Clássico,0
160,38,137.91,3,Premium,0
161,48,132.75,1,Premium,0
162,32,47.83,2,Degustação,0
163,20,33.76,0,Degustação,0
164,20,126.3,1,Premium,1
165,21,44.83,0,Degustação,0
166,40,127.34,0,Premium,0
167,16,70.85,0,Clássico,1
168,9,47.55,0,Degustação,1
169,17,118.03,1,Premium,1
170,2,48.89,2,Degustação,1
171,6,93.06,0,Clássico,1
172,5,72.28,1,Clássico,1
173,38,84.24,0,Clássico,0
174,35,67.19,3,Clássico,0
175,34,72.49,2,Clássico,0
176,23,131.72,1,Premium,0
177,35,116.68,0,Premium,0
178,8,89.61,1,Clássico,1
179,44,46.24,0,Degustação,0
180,25,77.17,3,Clássico,1
181,46,134.26,1,Premium,0
182,8,47.04,1,Degustação,1
183,24,84.88,0,Clássico,0
184,34,80.66,1,Clássico,0
185,24,55.32,1,Degustação,0
186,22,78.27,0,Clássico,1
187,8,53.58,1,Degustação,0
188,19,129.9,0,Premium,0
189,12,145.71,0,Premium,1
190,15,121.3,1,Premium,0
191,33,88.55,1,Clássico,1
192,31,30.0,0,Degustação,0
193,30,77.34,2,Clássico,0
194,18,128.28,2,Premium,1
195,47,66.53,0,Clássico,0
196,5,141.59,1,Premium,0
197,17,42.78,2,Degustação,0
198,6,137.34,2,Premium,0
199,17,43.85,2,Degustação,1
200,47,32.74,1,Degustação,0
201,18,73.38,0,Clássico,0
202,44,45.66,0,Degustação,0
203,24,53.74,2,Degustação,0
204,34,37.39,0,Degustação,0
205,22,82.86,0,Clássico,0
206,13,124.13,0,Premium,1
207,37,47.35,2,Degustação,0
208,47,81.77,1,Clássico,1
209,13,130.57,0,Premium,0
210,38,38.59,3,Degustação,0
211,13,40.3,1,Degustação,1
212,35,129.01,5,Premium,1
213,38,130.97,1,Premium,0
214,22,68.03,1,Clássico,0
215,36,124.11,2,Premium,0
216,14,55.34,2,Degustação,1
217,4,41.2,0,Degustação,1
218,5,73.93,0,Clássico,1
219,22,48.24,1,Degustação,0
220,44,128.37,3,Premium,0
221,7,74.93,1,Clássico,0
222,22,117.81,3,Premium,1
223,34,76.44,0,Clássico,0
224,10,31.9,0,Degustação,0
225,35,58.04,0,Degustação,0
226,15,49.22,0,Degustação,1
227,39,129.95,2,Premium,0
228,28,43.72,3,Degustação,0
229,27,49.03,0,Degustação,0
230,9,35.13,2,Degustação,1
231,23,53.28,1,Degustação,0
232,42,132.15,0,Premium,0
233,1,42.73,0,Degustação,1
234,37,127.41,2,Premium,0
235,24,43.57,1,Degustação,0
236,35,69.37,1,Clássico,1
237,32,74.6,1,Clássico,0
238,21,41.56,0,Degustação,0
239,15,117.69,1,Premium,1
240,31,135.92,0,Premium,0
241,7,131.55,0,Premium,0
242,29,40.94,3,Degustação,1
243,5,49.86,1,Degustação,0
244,32,73.9,2,Clássico,0
245,31,46.79,1,Degustação,0
246,5,84.4,2,Clássico,1
247,37,84.66,0,Clássico,0
248,20,77.98,0,Clássico,0
249,38,123.92,0,Premium,0
250,2,76.26,0,Clássico,1
251,9,49.56,1,Degustação,1
252,24,44.94,0,Degustação,0
253,10,79.98,1,Clássico,1
254,16,73.28,2,Clássico,1
255,32,48.59,1,Degustação,1
256,7,70.97,0,Clássico,0
257,33,127.04,2,Premium,1
258,5,118.5,1,Premium,1
259,9,72.42,0,Clássico,1
260,29,42.07,0,Degustação,1
261,39,60.61,0,Degustação,0
262,9,74.56,0,Clássico,0
263,15,34.02,1,Degustação,0
264,45,70.86,2,Clássico,1
265,48,80.13,1,Clássico,1
266,28,53.83,4,Degustação,1
267,22,54.58,0,Degustação,0
268,17,39.03,1,Degustação,1
269,30,121.82,2,Premium,0
270,29,84.11,1,Clássico,0
271,15,60.6,1,Degustação,0
272,2,125.24,0,Premium,0
273,8,67.89,0,Clássico,1
274,47,79.18,0,Clássico,0
275,21,137.6,1,Premium,1
276,24,51.97,0,Degustação,0
277,23,51.8,0,Degustação,1
278,38,77.46,0,Clássico,0
279,4,45.2,0,Degustação,0
280,4,81.39,0,Clássico,1
281,14,43.48,1,Degustação,0
282,24,43.53,0,Degustação,0
283,33,47.73,0,Degustação,0
284,24,78.91,1,Clássico,0
285,22,54.81,0,Degustação,0
286,46,46.27,1,Degustação,0
287,8,124.52,1,Premium,0
288,28,38.62,0,Degustação,1
289,27,50.77,1,Degustação,0
290,23,51.45,1,Degustação,0
291,39,49.58,0,Degustação,0
292,13,50.22,0,Degustação,0
293,46,68.82,1,Clássico,0
294,16,43.1,0,Degustação,1
295,27,133.48,0,Premium,0
296,25,125.23,1,Premium,0
