data,receita,feriado
2023-01-01,1200.53,1
2023-01-02,2395.55,0
2023-01-03,2333.9,0
2023-01-04,2194.47,0
2023-01-05,2215.61,0
2023-01-06,2051.3,0
2023-01-07,1896.94,0
2023-01-08,1863.87,0
2023-01-09,2359.65,0
2023-01-10,2318.49,0
2023-01-11,2248.94,0
2023-01-12,2158.36,0
2023-01-13,1979.93,0
2023-01-14,1903.79,0
2023-01-15,1851.58,0
2023-01-16,2363.81,0
2023-01-17,2527.02,0
2023-01-18,2106.19,0
2023-01-19,2220.14,0
2023-01-20,2252.17,0
2023-01-21,1917.95,0
2023-01-22,2193.25,0
2023-01-23,2294.83,0
2023-01-24,2275.0,0
2023-01-25,2079.75,0
2023-01-26,2124.39,0
2023-01-27,2150.56,0
2023-01-28,2036.37,0
2023-01-29,1924.81,0
2023-01-30,2538.74,0
2023-01-31,2231.56,0
2023-02-01,2160.83,0
2023-02-02,2568.43,0
2023-02-03,2187.69,0
2023-02-04,1834.46,0
2023-02-05,1800.75,0
2023-02-06,2248.8,0
2023-02-07,2394.8,0
2023-02-08,2175.64,0
2023-02-09,2227.53,0
2023-02-10,2143.92,0
2023-02-11,2058.4,0
2023-02-12,1800.69,0
2023-02-13,2251.97,0
2023-02-14,2317.34,0
2023-02-15,2333.52,0
2023-02-16,2279.45,0
2023-02-17,2063.15,0
2023-02-18,2074.96,0
2023-02-19,1839.68,0
2023-02-20,2354.57,0
2023-02-21,2179.26,0
2023-02-22,2457.46,0
2023-02-23,2347.93,0
2023-02-24,2287.95,0
2023-02-25,2181.93,0
2023-02-26,2365.21,0
2023-02-27,2216.33,0
2023-02-28,2236.48,0
2023-03-01,2217.88,0
2023-03-02,2169.37,0
2023-03-03,2082.02,0
2023-03-04,1995.37,0
2023-03-05,1831.49,0
2023-03-06,2533.27,0
2023-03-07,2378.2,0
2023-03-08,2402.94,0
2023-03-09,2391.37,0
2023-03-10,2349.44,0
2023-03-11,2017.52,0
2023-03-12,2331.58,0
2023-03-13,2552.3,0
2023-03-14,2143.64,0
2023-03-15,2229.0,0
2023-03-16,2110.65,0
2023-03-17,2301.76,0
2023-03-18,2087.34,0
2023-03-19,2003.91,0
2023-03-20,2836.14,0
2023-03-21,2516.63,0
2023-03-22,2506.62,0
2023-03-23,2259.83,0
2023-03-24,2195.55,0
2023-03-25,2145.87,0
2023-03-26,2130.24,0
2023-03-27,2331.47,0
2023-03-28,2451.46,0
2023-03-29,2444.05,0
2023-03-30,2397.36,0
2023-03-31,2259.03,0
2023-04-01,2102.81,0
2023-04-02,2119.04,0
2023-04-03,2641.99,0
2023-04-04,2599.44,0
2023-04-05,2631.59,0
2023-04-06,2424.58,0
2023-04-07,2347.45,0
2023-04-08,2278.13,0
2023-04-09,2267.92,0
2023-04-10,2607.17,0
2023-04-11,2664.17,0
2023-04-12,2656.23,0
2023-04-13,2685.49,0
2023-04-14,2699.19,0
2023-04-15,2134.5,0
2023-04-16,2223.32,0
2023-04-17,2708.52,0
2023-04-18,2578.78,0
2023-04-19,2467.17,0
2023-04-20,2335.65,0
2023-04-21,1802.15,1
2023-04-22,2187.15,0
2023-04-23,2272.29,0
2023-04-24,2634.61,0
2023-04-25,2477.33,0
2023-04-26,2629.58,0
2023-04-27,2603.39,0
2023-04-28,2608.82,0
2023-04-29,2639.19,0
2023-04-30,2337.42,0
2023-05-01,2151.92,1
2023-05-02,2518.53,0
2023-05-03,2454.59,0
2023-05-04,2841.69,0
2023-05-05,2436.13,0
2023-05-06,2224.55,0
2023-05-07,2330.49,0
2023-05-08,2808.57,0
2023-05-09,2580.05,0
2023-05-10,2628.87,0
2023-05-11,2828.82,0
2023-05-12,2488.97,0
2023-05-13,2211.77,0
2023-05-14,2503.88,0
2023-05-15,2925.84,0
2023-05-16,2655.0,0
2023-05-17,2485.29,0
2023-05-18,2587.43,0
2023-05-19,2628.85,0
2023-05-20,2604.5,0
2023-05-21,2260.93,0
2023-05-22,2878.93,0
2023-05-23,2869.94,0
2023-05-24,2406.65,0
2023-05-25,2869.33,0
2023-05-26,2503.57,0
2023-05-27,2520.05,0
2023-05-28,2472.52,0
2023-05-29,3074.19,0
2023-05-30,2883.79,0
2023-05-31,2438.09,0
2023-06-01,2645.24,0
2023-06-02,2718.6,0
2023-06-03,2476.04,0
2023-06-04,2534.23,0
2023-06-05,3061.85,0
2023-06-06,2920.43,0
2023-06-07,2769.1,0
2023-06-08,2524.4,0
2023-06-09,2662.85,0
2023-06-10,2588.57,0
2023-06-11,2341.22,0
2023-06-12,3065.8,0
2023-06-13,2988.07,0
2023-06-14,2842.06,0
2023-06-15,2378.71,0
2023-06-16,2571.98,0
2023-06-17,2818.18,0
2023-06-18,2440.74,0
2023-06-19,2722.54,0
2023-06-20,3056.26,0
2023-06-21,2848.12,0
2023-06-22,2983.81,0
2023-06-23,2810.68,0
2023-06-24,2638.82,0
2023-06-25,2588.08,0
2023-06-26,3117.48,0
2023-06-27,3221.18,0
2023-06-28,3000.7,0
2023-06-29,2625.87,0
2023-06-30,2851.92,0
2023-07-01,2751.4,0
2023-07-02,2722.1,0
2023-07-03,2976.06,0
2023-07-04,3080.85,0
2023-07-05,3009.55,0
2023-07-06,3221.64,0
2023-07-07,2698.24,0
2023-07-08,2533.88,0
2023-07-09,2523.66,0
2023-07-10,2979.41,0
2023-07-11,2804.88,0
2023-07-12,2504.08,0
2023-07-13,2811.29,0
2023-07-14,2865.07,0
2023-07-15,2545.45,0
2023-07-16,2846.51,0
2023-07-17,3058.42,0
2023-07-18,3118.2,0
2023-07-19,2934.88,0
2023-07-20,2994.74,0
2023-07-21,2858.81,0
2023-07-22,2811.95,0
2023-07-23,2588.67,0
2023-07-24,3130.75,0
2023-07-25,2992.95,0
2023-07-26,2861.6,0
2023-07-27,2938.88,0
2023-07-28,3135.14,0
2023-07-29,2584.54,0
2023-07-30,2641.12,0
2023-07-31,3238.4,0
2023-08-01,3101.8,0
2023-08-02,2903.58,0
2023-08-03,2547.96,0
2023-08-04,2893.6,0
2023-08-05,2310.09,0
2023-08-06,2786.09,0
2023-08-07,3083.44,0
2023-08-08,3079.01,0
2023-08-09,2772.03,0
2023-08-10,2660.17,0
2023-08-11,2853.16,0
2023-08-12,2611.01,0
2023-08-13,2505.9,0
2023-08-14,3065.49,0
2023-08-15,3319.94,0
2023-08-16,3008.13,0
2023-08-17,3016.95,0
2023-08-18,2926.83,0
2023-08-19,2814.41,0
2023-08-20,2539.21,0
2023-08-21,2756.62,0
2023-08-22,2896.3,0
2023-08-23,2994.69,0
2023-08-24,2723.57,0
2023-08-25,2772.88,0
2023-08-26,2498.89,0
2023-08-27,2764.14,0
2023-08-28,3136.83,0
2023-08-29,3001.13,0
2023-08-30,2954.88,0
2023-08-31,2840.53,0
2023-09-01,2811.25,0
2023-09-02,2415.45,0
2023-09-03,2233.01,0
2023-09-04,3037.81,0
2023-09-05,2939.79,0
2023-09-06,3021.32,0
2023-09-07,2349.55,1
2023-09-08,2986.85,0
2023-09-09,2424.78,0
2023-09-10,2472.59,0
2023-09-11,3066.52,0
2023-09-12,3231.06,0
2023-09-13,3041.09,0
2023-09-14,2967.83,0
2023-09-15,2694.03,0
2023-09-16,2421.84,0
2023-09-17,2613.06,0
2023-09-18,2825.62,0
2023-09-19,2823.39,0
2023-09-20,2797.73,0
2023-09-21,3013.8,0
2023-09-22,2678.11,0
2023-09-23,2183.21,0
2023-09-24,2552.24,0
2023-09-25,2860.63,0
2023-09-26,2841.33,0
2023-09-27,2780.05,0
2023-09-28,2730.69,0
2023-09-29,2816.45,0
2023-09-30,2287.97,0
2023-10-01,2386.94,0
2023-10-02,3031.82,0
2023-10-03,2726.81,0
2023-10-04,2544.25,0
2023-10-05,2839.77,0
2023-10-06,2840.09,0
2023-10-07,2473.22,0
2023-10-08,2161.66,0
2023-10-09,3011.66,0
2023-10-10,2557.09,0
2023-10-11,2789.34,0
2023-10-12,1898.5,1
2023-10-13,2496.99,0
2023-10-14,2394.13,0
2023-10-15,2386.96,0
2023-10-16,2799.06,0
2023-10-17,2848.3,0
2023-10-18,2660.07,0
2023-10-19,2836.38,0
2023-10-20,2675.17,0
2023-10-21,2334.8,0
2023-10-22,2267.89,0
2023-10-23,2635.14,0
2023-10-24,2783.17,0
2023-10-25,2649.53,0
2023-10-26,2343.77,0
2023-10-27,2537.6,0
2023-10-28,2283.2,0
2023-10-29,2586.7,0
2023-10-30,2604.5,0
2023-10-31,2517.89,0
2023-11-01,2831.9,0
2023-11-02,2143.3,1
2023-11-03,2485.92,0
2023-11-04,2298.62,0
2023-11-05,2430.31,0
2023-11-06,2495.19,0
2023-11-07,2437.4,0
2023-11-08,2615.67,0
2023-11-09,2849.0,0
2023-11-10,2508.08,0
2023-11-11,2380.32,0
2023-11-12,2482.07,0
2023-11-13,3095.48,0
2023-11-14,2596.97,0
2023-11-15,1932.63,1
2023-11-16,2867.37,0
2023-11-17,2336.51,0
2023-11-18,2490.86,0
2023-11-19,2161.86,0
2023-11-20,2796.23,0
2023-11-21,2625.43,0
2023-11-22,2482.84,0
2023-11-23,2456.93,0
2023-11-24,2570.92,0
2023-11-25,2469.3,0
2023-11-26,2269.51,0
2023-11-27,2775.3,0
2023-11-28,2723.31,0
2023-11-29,2465.23,0
2023-11-30,2682.78,0
2023-12-01,2631.95,0
2023-12-02,2679.83,0
2023-12-03,2220.8,0
2023-12-04,2687.52,0
2023-12-05,2737.56,0
2023-12-06,2702.89,0
2023-12-07,2491.67,0
2023-12-08,2448.58,0
2023-12-09,2379.27,0
2023-12-10,2146.21,0
2023-12-11,2683.22,0
2023-12-12,2631.93,0
2023-12-13,2717.57,0
2023-12-14,2472.31,0
2023-12-15,2237.9,0
2023-12-16,2026.47,0
2023-12-17,2077.49,0
2023-12-18,2549.05,0
2023-12-19,2590.41,0
2023-12-20,2404.84,0
2023-12-21,2452.19,0
2023-12-22,2381.57,0
2023-12-23,2227.71,0
2023-12-24,2434.04,0
2023-12-25,2121.15,1
2023-12-26,2610.39,0
2023-12-27,2503.32,0
2023-12-28,2487.01,0
2023-12-29,2533.42,0
2023-12-30,2369.27,0
2023-12-31,2120.44,0
2024-01-01,2032.48,1
2024-01-02,2323.14,0
2024-01-03,2597.47,0
2024-01-04,2654.87,0
2024-01-05,2449.38,0
2024-01-06,2543.4,0
2024-01-07,2126.29,0
2024-01-08,2760.75,0
2024-01-09,2606.02,0
2024-01-10,2557.8,0
2024-01-11,2536.71,0
2024-01-12,2508.67,0
2024-01-13,2413.42,0
2024-01-14,2448.7,0
2024-01-15,2736.69,0
2024-01-16,2732.41,0
2024-01-17,2481.36,0
2024-01-18,2668.26,0
2024-01-19,2395.84,0
2024-01-20,2456.78,0
2024-01-21,2575.22,0
2024-01-22,2730.36,0
2024-01-23,2322.3,0
2024-01-24,2514.4,0
2024-01-25,2745.54,0
2024-01-26,2592.54,0
2024-01-27,2352.06,0
2024-01-28,2420.6,0
2024-01-29,2829.46,0
2024-01-30,2814.44,0
2024-01-31,2735.08,0
2024-02-01,2801.87,0
2024-02-02,2581.61,0
2024-02-03,2460.73,0
2024-02-04,2253.69,0
2024-02-05,2695.24,0
2024-02-06,2901.23,0
2024-02-07,2655.45,0
2024-02-08,2720.84,0
2024-02-09,2568.52,0
2024-02-10,2272.2,0
2024-02-11,2319.03,0
2024-02-12,3001.78,0
2024-02-13,2761.79,0
2024-02-14,2407.83,0
2024-02-15,2600.75,0
2024-02-16,2823.92,0
2024-02-17,2348.04,0
2024-02-18,2089.55,0
2024-02-19,3090.35,0
2024-02-20,2804.62,0
2024-02-21,2663.11,0
2024-02-22,2604.8,0
2024-02-23,2752.28,0
2024-02-24,2328.88,0
2024-02-25,2529.58,0
2024-02-26,2928.85,0
2024-02-27,2771.38,0
2024-02-28,2721.73,0
2024-02-29,2661.15,0
2024-03-01,2776.37,0
2024-03-02,2313.23,0
2024-03-03,2171.75,0
2024-03-04,2969.34,0
2024-03-05,2856.24,0
2024-03-06,2799.69,0
2024-03-07,2774.18,0
2024-03-08,2616.91,0
2024-03-09,2576.77,0
2024-03-10,2424.92,0
2024-03-11,2847.93,0
2024-03-12,2757.32,0
2024-03-13,3048.78,0
2024-03-14,2507.94,0
2024-03-15,2765.79,0
2024-03-16,2265.76,0
2024-03-17,2450.74,0
2024-03-18,2890.28,0
2024-03-19,2544.21,0
2024-03-20,2855.74,0
2024-03-21,2733.26,0
2024-03-22,2437.79,0
2024-03-23,2654.47,0
2024-03-24,2703.11,0
2024-03-25,3196.14,0
2024-03-26,2923.1,0
2024-03-27,2844.65,0
2024-03-28,3009.53,0
